"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 3 04-8-22 16 07 51 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 3,,,
Date: 4/8/2022 4:06:06 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
-0.003271484,-9.439731598,1.940000057,6.35E-05
-0.003271484,-9.464495659,1.960000038,5.34E-05
-0.003320313,-9.627640724,1.980000019,6.96E-05
-0.003369141,-9.761880875,2,6.20E-05
-0.003369141,-9.905637741,2.019999981,6.97E-05
-0.003417969,-9.965067863,2.039999962,6.39E-05
-0.003466797,-9.889883041,2.059999943,5.99E-05
-0.003466797,-10.10195255,2.079999924,6.49E-05
-0.003515625,-10.35507679,2.099999905,6.69E-05
-0.003564453,-10.38651943,2.119999886,6.68E-05
-0.003613281,-10.3882494,2.140000105,6.44E-05
-0.003613281,-10.41029358,2.160000086,6.68E-05
-0.003662109,-10.60428619,2.180000067,6.25E-05
-0.003710938,-10.70229912,2.200000048,7.21E-05
-0.003710938,-10.79934216,2.220000029,7.21E-05
-0.003759766,-10.92849922,2.24000001,7.59E-05
-0.003808594,-10.85631466,2.25999999,7.37E-05
-0.003808594,-11.04377174,2.279999971,7.66E-05
-0.003857422,-11.23908234,2.299999952,7.94E-05
-0.00390625,-11.26833248,2.319999933,7.54E-05
-0.003955078,-11.37904644,2.339999914,8.12E-05
-0.003955078,-11.43431282,2.359999895,7.93E-05
-0.004003906,-11.53635025,2.380000114,7.69E-05
-0.004052734,-11.69073105,2.400000095,8.66E-05
-0.004052734,-11.81065273,2.420000076,9.52E-05
-0.004101562,-11.87701416,2.440000057,8.73E-05
-0.004150391,-11.95509815,2.460000038,8.03E-05
-0.004150391,-12.07339001,2.480000019,9.17E-05
-0.004199219,-12.27736568,2.5,8.79E-05
-0.004248047,-12.40444374,2.519999981,8.04E-05
-0.004296875,-12.33608913,2.539999962,8.58E-05
-0.004296875,-12.42864513,2.559999943,8.31E-05
-0.004345703,-12.48535633,2.579999924,8.43E-05
-0.004394531,-12.65996075,2.599999905,9.19E-05
-0.004394531,-12.87083149,2.619999886,9.38E-05
-0.00444336,-12.84737396,2.640000105,9.17E-05
-0.004492188,-12.85199261,2.660000086,8.63E-05
-0.004492188,-13.04100227,2.680000067,9.68E-05
-0.004541016,-13.09515762,2.700000048,9.96E-05
-0.004589844,-13.35062695,2.720000029,9.17E-05
-0.004589844,-13.27877617,2.74000001,9.48E-05
