"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 11 04-9-22 14 19 42 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 11,,,
Date: 4/9/2022 2:18:25 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
0,-4.131319523,0.075999998,-2.75E-05
0,-4.193656921,0.096000001,-1.31E-05
-4.88E-05,-4.344438553,0.115999997,-6.37E-06
-4.88E-05,-4.330916882,0.136000007,-1.03E-05
-4.88E-05,-4.231937408,0.156000003,-1.67E-05
-4.88E-05,-4.158466339,0.175999999,-8.39E-06
-4.88E-05,-4.226331234,0.195999995,-1.30E-05
-9.77E-05,-4.380367756,0.216000006,-8.23E-06
-9.77E-05,-4.36745882,0.236000001,-9.50E-06
-0.000146484,-4.351292133,0.256000012,-1.73E-05
-0.000146484,-4.301486969,0.275999993,-1.93E-05
-0.000146484,-4.246608257,0.296000004,-1.91E-05
-0.000195312,-4.373741627,0.316000015,-9.92E-06
-0.000195312,-4.416531563,0.335999995,-1.07E-06
-0.000195312,-4.395758629,0.356000006,-1.21E-05
-0.000244141,-4.401217461,0.375999987,-2.21E-05
-0.000244141,-4.409895897,0.395999998,-1.51E-05
-0.000292969,-4.543838024,0.416000009,-1.02E-05
-0.000292969,-4.684539318,0.43599999,-1.30E-05
-0.000341797,-4.659777641,0.456,-1.54E-05
-0.000341797,-4.712787628,0.476000011,-7.42E-06
-0.000390625,-4.650333405,0.495999992,-9.26E-06
-0.000390625,-4.728285313,0.515999973,-7.17E-06
-0.000439453,-4.869996548,0.536000013,-5.09E-06
-0.000488281,-4.884547234,0.555999994,-9.87E-06
-0.000537109,-4.884572029,0.575999975,-1.98E-05
-0.000537109,-4.917038918,0.596000016,-4.33E-06
-0.000585938,-5.096344948,0.615999997,-1.35E-05
-0.000634766,-5.258034229,0.635999978,-1.29E-05
