"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 12 04-9-22 14 37 15 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 12,,,
Date: 4/9/2022 2:29:01 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
0,-0.735322654,0.02,-4.64E-05
0,-0.776248157,0.039999999,-3.55E-05
0,-0.858187437,0.059999999,-4.31E-05
0,-0.755903304,0.079999998,-4.72E-05
0,-0.66864717,0.100000001,-4.03E-05
-4.88E-05,-0.783984005,0.119999997,-4.28E-05
-4.88E-05,-0.803270519,0.140000001,-4.46E-05
-4.88E-05,-0.853785098,0.159999996,-3.01E-05
-4.88E-05,-0.726467788,0.180000007,-5.41E-05
-9.77E-05,-0.752112567,0.200000003,-3.67E-05
-9.77E-05,-0.842190623,0.219999999,-3.99E-05
-0.000146484,-0.852393448,0.239999995,-4.43E-05
-0.000146484,-0.949496448,0.25999999,-2.88E-05
-0.000146484,-0.849647105,0.280000001,-4.09E-05
-0.000195312,-0.75090611,0.300000012,-2.69E-05
-0.000195312,-0.889098227,0.319999993,-2.97E-05
-0.000244141,-0.941551208,0.340000004,-2.84E-05
-0.000244141,-0.946654856,0.360000014,-2.39E-05
-0.000292969,-0.92175293,0.379999995,-3.15E-05
-0.000292969,-0.805570483,0.400000006,-2.55E-05
-0.000341797,-0.974942803,0.419999987,-2.16E-05
-0.000341797,-1.026045799,0.439999998,-3.11E-05
-0.000390625,-1.016474128,0.460000008,-1.65E-05
-0.000390625,-1.056154251,0.479999989,-1.50E-05
-0.000439453,-0.866016746,0.5,-2.70E-05
-0.000488281,-1.040556431,0.519999981,-6.02E-06
-0.000488281,-1.075688124,0.540000021,-9.34E-06
-0.000537109,-1.173108816,0.560000002,-7.29E-07
-0.000585938,-1.082600594,0.579999983,-2.33E-06
-0.000585938,-1.153966069,0.600000024,-5.55E-06
-0.000634766,-1.117032886,0.620000005,1.82E-05
-0.000683594,-1.320713758,0.639999986,1.70E-05
-0.000683594,-1.321205497,0.660000026,2.41E-05
-0.000732422,-1.30674386,0.680000007,2.01E-05
-0.000732422,-1.29882133,0.699999988,1.42E-05
-0.00078125,-1.258368969,0.720000029,1.56E-05
-0.000830078,-1.398996711,0.74000001,3.09E-05
-0.000878906,-1.560546517,0.75999999,2.64E-05
-0.000878906,-1.50276351,0.779999971,3.72E-05
-0.000927734,-1.489091158,0.800000012,2.19E-05
-0.000976563,-1.529132962,0.819999993,4.44E-05
-0.001025391,-1.675840735,0.839999974,4.78E-05
-0.001025391,-1.783265948,0.860000014,5.33E-05
-0.001074219,-1.71560955,0.879999995,6.17E-05
-0.001123047,-1.721332431,0.899999976,4.54E-05
-0.001171875,-1.849854946,0.920000017,7.09E-05
-0.001220703,-1.866216302,0.939999998,7.01E-05
-0.001269531,-2.051924229,0.959999979,8.15E-05
-0.001269531,-1.994253397,0.980000019,7.16E-05
-0.001318359,-2.021223068,1,8.67E-05
-0.001367187,-2.110894442,1.019999981,9.11E-05
-0.001416016,-2.172872066,1.039999962,0.000102014
-0.001464844,-2.387745857,1.059999943,0.000122194
-0.001513672,-2.308242083,1.080000043,0.000107001
-0.0015625,-2.220536232,1.100000024,0.00013018
-0.001611328,-2.271768808,1.120000005,0.000114192
-0.001660156,-2.355777502,1.139999986,0.000132453
-0.001708984,-2.515883923,1.159999967,0.000143893
-0.001757812,-2.436733723,1.179999948,0.000129675
-0.001806641,-2.336725473,1.200000048,0.000148518
-0.001855469,-2.464883089,1.220000029,0.000131174
-0.001904297,-2.552630901,1.24000001,0.000161464
-0.001904297,-2.641240597,1.25999999,0.000163773
-0.001953125,-2.557910442,1.279999971,0.000160597
-0.002001953,-2.433482409,1.299999952,0.000162922
-0.002050781,-2.546271324,1.320000052,0.000170352
-0.002099609,-2.618542194,1.340000033,0.000200421
-0.002148437,-2.638242245,1.360000014,0.000223112
-0.002197266,-2.709465504,1.379999995,0.000217167
-0.002197266,-2.623259306,1.399999976,0.000217153
-0.002246094,-2.612426519,1.419999957,0.000230088
-0.002294922,-2.671688557,1.440000057,0.000234476
-0.00234375,-2.782705069,1.460000038,0.000232578
-0.002392578,-2.74733448,1.480000019,0.000211267
-0.002392578,-2.780642986,1.5,0.000218894
-0.002441406,-2.612901926,1.519999981,0.000195314
-0.002490234,-2.872067451,1.539999962,0.000212464
-0.002539063,-2.856776953,1.559999943,0.000187513
-0.002587891,-2.849114895,1.580000043,0.000196182
-0.002587891,-2.846692085,1.600000024,0.000173302
-0.002636719,-2.711871147,1.620000005,0.000158718
-0.002685547,-2.991913319,1.639999986,0.000178964
-0.002734375,-2.996268511,1.659999967,0.000154849
-0.002734375,-2.991012573,1.679999948,0.000181787
-0.002783203,-2.980829954,1.700000048,0.000148962
-0.002832031,-2.898783684,1.720000029,0.000158752
-0.002880859,-3.041909456,1.74000001,0.000174391
-0.002880859,-3.126220703,1.75999999,0.000156712
-0.002929688,-3.110229254,1.779999971,0.000183632
-0.002978516,-3.063504934,1.799999952,0.000160948
-0.003027344,-3.02135849,1.820000052,0.000182746
-0.003027344,-3.095335484,1.840000033,0.000179806
-0.003076172,-3.284868956,1.860000014,0.000188914
-0.003125,-3.123045921,1.879999995,0.000197797
-0.003173828,-3.213105202,1.899999976,0.000205161
-0.003173828,-3.199542046,1.919999957,0.000209877
-0.003222656,-3.253851652,1.940000057,0.000228402
-0.003271484,-3.35993576,1.960000038,0.000236931
-0.003271484,-3.435093164,1.980000019,0.000241916
-0.003320313,-3.274341106,2,0.00024332
-0.003369141,-3.239152431,2.019999981,0.000238382
-0.003417969,-3.305296183,2.039999962,0.000250103
-0.003417969,-3.395720005,2.059999943,0.000257204
-0.003466797,-3.481176376,2.079999924,0.000266674
-0.003515625,-3.319549561,2.099999905,0.000265911
-0.003564453,-3.380582571,2.119999886,0.000267869
-0.003564453,-3.407465696,2.140000105,0.000285287
-0.003613281,-3.547663212,2.160000086,0.000300228
-0.003662109,-3.597532034,2.180000067,0.000296304
-0.003662109,-3.387624502,2.200000048,0.000305009
-0.003710938,-3.54843545,2.220000029,0.000318195
-0.003759766,-3.497606993,2.24000001,0.000295911
-0.003759766,-3.601550579,2.25999999,0.000332419
-0.003808594,-3.718566179,2.279999971,0.000318077
-0.003857422,-3.664348125,2.299999952,0.000326941
-0.00390625,-3.658274651,2.319999933,0.000320249
-0.00390625,-3.707862139,2.339999914,0.000329527
-0.003955078,-3.789470911,2.359999895,0.000333745
-0.004003906,-3.8550632,2.380000114,0.000323222
-0.004003906,-3.842333794,2.400000095,0.000343681
-0.004052734,-3.72992754,2.420000076,0.000334593
-0.004101562,-3.844138145,2.440000057,0.000336694
-0.004150391,-3.891834259,2.460000038,0.000328185
-0.004150391,-4.0471735,2.480000019,0.000337988
-0.004199219,-4.000183582,2.5,0.000328411
-0.004248047,-3.896377325,2.519999981,0.000316749
-0.004248047,-4.016618252,2.539999962,0.000324814
-0.004296875,-4.061056137,2.559999943,0.000311089
-0.004345703,-4.206718922,2.579999924,0.000328256
-0.004345703,-4.225106716,2.599999905,0.00030337
-0.004394531,-4.14554882,2.619999886,0.000306739
-0.00444336,-4.162468433,2.640000105,0.000308741
-0.00444336,-4.32624197,2.660000086,0.000313813
