"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 13 04-9-22 14 36 21 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 13,,,
Date: 4/9/2022 2:34:50 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
-0.003125,-3.391212225,1.940000057,0.000131369
-0.003173828,-3.387296438,1.960000038,0.000126064
-0.003173828,-3.324385166,1.980000019,0.000123628
-0.003222656,-3.397127628,2,0.000123934
-0.003271484,-3.343848944,2.019999981,0.000125493
-0.003271484,-3.525046587,2.039999962,0.000130206
-0.003320313,-3.599731684,2.059999943,0.000132692
-0.003369141,-3.469102144,2.079999924,0.00013463
-0.003369141,-3.508224487,2.099999905,0.000128149
-0.003417969,-3.529108286,2.119999886,0.000133361
-0.003466797,-3.701953411,2.140000105,0.000146189
-0.003466797,-3.824523926,2.160000086,0.000145457
-0.003515625,-3.726433277,2.180000067,0.000134239
-0.003564453,-3.655170918,2.200000048,0.000139439
-0.003564453,-3.829100847,2.220000029,0.000144113
-0.003613281,-3.952244759,2.24000001,0.000153734
-0.003662109,-4.011885166,2.25999999,0.00014734
-0.003662109,-3.920849085,2.279999971,0.000143654
-0.003710938,-3.950245142,2.299999952,0.000133047
-0.003759766,-3.946775198,2.319999933,0.000144368
-0.003759766,-4.045521259,2.339999914,0.000157066
-0.003808594,-4.21416235,2.359999895,0.000148196
-0.003857422,-4.188979626,2.380000114,0.000153695
-0.003857422,-4.144507408,2.400000095,0.000142551
-0.00390625,-4.251612663,2.420000076,0.00014851
-0.003955078,-4.275618076,2.440000057,0.000152237
-0.004003906,-4.428931713,2.460000038,0.000156302
-0.004003906,-4.476115704,2.480000019,0.000163499
-0.004052734,-4.400669098,2.5,0.000151831
-0.004101562,-4.342811108,2.519999981,0.00016036
-0.004101562,-4.466425896,2.539999962,0.000170847
-0.004150391,-4.536564827,2.559999943,0.000181395
-0.004199219,-4.578035355,2.579999924,0.000163914
-0.004199219,-4.466375351,2.599999905,0.000166765
-0.004248047,-4.570596218,2.619999886,0.000166242
-0.004296875,-4.667947769,2.640000105,0.000179209
-0.004345703,-4.81827116,2.660000086,0.000173743
-0.004345703,-4.823760986,2.680000067,0.000169074
-0.004394531,-4.783508301,2.700000048,0.000165075
-0.00444336,-4.857631207,2.720000029,0.000176335
-0.004492188,-4.964275837,2.74000001,0.00018306
-0.004492188,-5.084067345,2.75999999,0.000181914
-0.004541016,-5.108834267,2.779999971,0.000174936
-0.004589844,-5.047860622,2.799999952,0.000174035
-0.004638672,-5.075879097,2.819999933,0.000175716
-0.004638672,-5.249105453,2.839999914,0.000190175
-0.0046875,-5.263712883,2.859999895,0.000183533
-0.004736328,-5.26225853,2.880000114,0.000185828
-0.004736328,-5.308780193,2.900000095,0.000179321
-0.004785156,-5.22254467,2.920000076,0.000186728
-0.004833984,-5.512094498,2.940000057,0.00019176
-0.004882812,-5.582743168,2.960000038,0.000191243
-0.00493164,-5.59387064,2.980000019,0.000196493
-0.00493164,-5.604761124,3,0.000190498
-0.004980469,-5.579718113,3.019999981,0.000197962
-0.005029297,-5.741612911,3.039999962,0.000201686
-0.005029297,-5.884126663,3.059999943,0.000199033
-0.005078125,-5.801152706,3.079999924,0.000201949
-0.005126953,-5.756936073,3.099999905,0.000192734
-0.005175781,-5.799798012,3.119999886,0.000198217
-0.005175781,-5.903204441,3.140000105,0.000206259
-0.00522461,-6.088546753,3.160000086,0.000215054
-0.005273438,-6.147807121,3.180000067,0.000202748
-0.005322266,-6.054474831,3.200000048,0.000193988
-0.005322266,-6.127444267,3.220000029,0.000213322
-0.005371094,-6.189854145,3.24000001,0.000215387
-0.005419922,-6.353460312,3.25999999,0.000215499
-0.00546875,-6.331796646,3.279999971,0.000215545
-0.00546875,-6.338650227,3.299999952,0.000214573
-0.005517578,-6.425765038,3.319999933,0.000219873
-0.005566406,-6.411488056,3.339999914,0.000223314
-0.005566406,-6.609293461,3.359999895,0.000227189
-0.005615234,-6.687910557,3.380000114,0.000233709
-0.005664062,-6.630625725,3.400000095,0.000222925
-0.00571289,-6.61820364,3.420000076,0.000228082
-0.00571289,-6.709462166,3.440000057,0.000239157
-0.005761719,-6.84437561,3.460000038,0.000238351
-0.005810547,-6.986451626,3.480000019,0.000230666
-0.005810547,-6.777153492,3.5,0.000235134
-0.005859375,-6.927757263,3.519999981,0.000243465
-0.005908203,-6.943995953,3.539999962,0.000244668
-0.005957031,-7.060090542,3.559999943,0.000256061
-0.005957031,-7.187703609,3.579999924,0.000248372
-0.006005859,-7.053182602,3.599999905,0.000252412
-0.006054688,-7.112710476,3.619999886,0.000256971
-0.006054688,-7.196683407,3.640000105,0.000256915
-0.006103516,-7.364834309,3.660000086,0.000261987
-0.006152344,-7.356418133,3.680000067,0.000265033
-0.006201172,-7.364724636,3.700000048,0.00026264
-0.006201172,-7.369060516,3.720000029,0.000261948
-0.00625,-7.484126091,3.74000001,0.000282777
