RepRapFirmware height map file v2 generated at 2021-12-11 13:24, min error -0.347, max error 0.216, mean -0.030, deviation 0.155
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
 -0.347, -0.249, -0.170, -0.109, -0.060, -0.024,  0.000,  0.002
 -0.326, -0.214, -0.124, -0.059, -0.002,  0.039,  0.052,  0.061
 -0.306, -0.188, -0.093, -0.024,  0.039,  0.083,  0.101,  0.105
 -0.281, -0.156, -0.054,  0.025,  0.089,  0.142,  0.156,  0.159
 -0.236, -0.109,  0.002,  0.084,  0.156,  0.204,  0.214,  0.216
