"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 1 04-8-22 15 46 49 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 1,,,
Date: 4/8/2022 3:31:48 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
-4.88E-05,-2.018614769,0.108000003,5.40E-05
-4.88E-05,-2.0723176,0.128000006,6.56E-05
-4.88E-05,-2.153599262,0.148000002,5.15E-05
-9.77E-05,-2.028392315,0.167999998,5.39E-05
-9.77E-05,-1.95252347,0.187999994,5.50E-05
-9.77E-05,-1.985936165,0.208000004,6.81E-05
-0.000146484,-2.002201796,0.228,5.74E-05
-0.000146484,-2.078691244,0.247999996,6.30E-05
-0.000146484,-2.051948547,0.268000007,4.94E-05
-0.000195312,-1.955124855,0.287999988,5.37E-05
-0.000195312,-1.936716557,0.307999998,6.42E-05
-0.000244141,-2.095194578,0.328000009,6.13E-05
-0.000244141,-2.144176245,0.34799999,5.94E-05
-0.000292969,-2.114865303,0.368000001,6.53E-05
-0.000292969,-1.98270452,0.388000011,5.40E-05
-0.000341797,-2.010094404,0.407999992,5.83E-05
-0.000390625,-2.084025383,0.428000003,6.12E-05
-0.000390625,-2.137500048,0.448000014,5.71E-05
-0.000439453,-2.143652916,0.467999995,5.83E-05
-0.000488281,-2.099185467,0.488000005,5.74E-05
-0.000537109,-2.043616295,0.508000016,6.57E-05
-0.000537109,-2.169051647,0.527999997,6.54E-05
-0.000585938,-2.209892035,0.547999978,5.34E-05
-0.000634766,-2.181240797,0.568000019,5.06E-05
-0.000683594,-2.079995394,0.588,6.24E-05
-0.000732422,-2.105775595,0.60799998,7.57E-05
-0.00078125,-2.238380194,0.628000021,6.51E-05
-0.000830078,-2.359427214,0.648000002,6.50E-05
-0.000878906,-2.307215214,0.667999983,6.51E-05
-0.000927734,-2.267232418,0.688000023,6.73E-05
