"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 2 04-8-22 16 00 04 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 2,,,
Date: 4/8/2022 3:55:41 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
0,-2.860416651,0.02,-8.37E-06
-4.88E-05,-2.816189289,0.039999999,-4.01E-06
-4.88E-05,-2.919253111,0.059999999,-2.10E-06
-4.88E-05,-2.896836042,0.079999998,-6.03E-06
-4.88E-05,-2.748639822,0.100000001,-7.45E-07
-4.88E-05,-2.95460844,0.119999997,-7.51E-07
-4.88E-05,-2.954293728,0.140000001,-1.82E-06
-9.77E-05,-2.998705387,0.159999996,-4.62E-06
-9.77E-05,-2.874845266,0.180000007,-4.04E-06
-9.77E-05,-2.820498943,0.200000003,4.93E-06
-0.000146484,-2.923555851,0.219999999,8.86E-06
-0.000146484,-3.036408663,0.239999995,4.25E-06
-0.000146484,-2.944407225,0.25999999,9.73E-06
-0.000195312,-2.903681755,0.280000001,-2.89E-06
-0.000195312,-2.802453756,0.300000012,-7.61E-06
-0.000195312,-2.95641613,0.319999993,7.37E-07
-0.000244141,-3.035999537,0.340000004,5.75E-06
-0.000244141,-3.073663473,0.360000014,9.68E-06
-0.000292969,-3.097290277,0.379999995,-1.21E-07
-0.000292969,-3.162142992,0.400000006,1.86E-06
-0.000341797,-3.169677019,0.419999987,-2.29E-06
-0.000390625,-3.362345934,0.439999998,4.04E-06
-0.000390625,-3.446587801,0.460000008,1.02E-05
-0.000439453,-3.366505384,0.479999989,2.17E-06
-0.000488281,-3.407534838,0.5,1.01E-05
-0.000537109,-3.546766281,0.519999981,9.82E-06
-0.000585938,-3.718934536,0.540000021,1.61E-05
-0.000634766,-3.827520847,0.560000002,1.19E-05
-0.000634766,-3.797411203,0.579999983,1.22E-05
-0.000683594,-3.850248575,0.600000024,8.38E-06
-0.000732422,-3.925204277,0.620000005,1.65E-05
-0.00078125,-4.154493809,0.639999986,2.30E-05
-0.000830078,-4.289721966,0.660000026,2.88E-05
-0.000878906,-4.193248749,0.680000007,1.83E-05
-0.000878906,-4.315172195,0.699999988,1.88E-05
-0.000927734,-4.533826828,0.720000029,1.51E-05
-0.000976563,-4.501769543,0.74000001,2.33E-05
-0.001025391,-4.654379368,0.75999999,2.66E-05
-0.001074219,-4.658352852,0.779999971,1.79E-05
-0.001123047,-4.78457737,0.800000012,1.95E-05
-0.001123047,-4.827564716,0.819999993,2.38E-05
-0.001171875,-4.90141201,0.839999974,2.91E-05
-0.001220703,-5.096104622,0.860000014,3.32E-05
-0.001269531,-5.119008541,0.879999995,2.45E-05
-0.001318359,-5.093747616,0.899999976,2.45E-05
-0.001367187,-5.201424122,0.920000017,1.61E-05
-0.001367187,-5.403202057,0.939999998,3.01E-05
-0.001416016,-5.493048191,0.959999979,3.52E-05
-0.001464844,-5.523039818,0.980000019,3.12E-05
-0.001513672,-5.425624371,1,3.34E-05
-0.0015625,-5.683214188,1.019999981,3.03E-05
-0.0015625,-5.817757607,1.039999962,3.91E-05
-0.001611328,-5.973492622,1.059999943,3.51E-05
-0.001660156,-5.964494705,1.080000043,4.40E-05
-0.001708984,-5.921417713,1.100000024,2.69E-05
-0.001708984,-6.053414345,1.120000005,3.16E-05
-0.001757812,-6.169248104,1.139999986,4.38E-05
-0.001806641,-6.239725113,1.159999967,3.42E-05
