"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 4 04-8-22 16 15 28 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 4,,,
Date: 4/8/2022 4:13:51 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
4.88E-05,-1.568293214,0.02,2.17E-06
0,-1.506539583,0.039999999,2.31E-06
0,-1.602958679,0.059999999,7.43E-06
0,-1.483572721,0.079999998,-1.03E-05
0,-1.40722084,0.100000001,-4.17E-06
0,-1.498585105,0.119999997,5.64E-06
0,-1.533666372,0.140000001,2.83E-06
-4.88E-05,-1.668522835,0.159999996,1.49E-07
-4.88E-05,-1.556377769,0.180000007,-2.56E-06
-4.88E-05,-1.450607419,0.200000003,-1.35E-06
-4.88E-05,-1.597792268,0.219999999,-9.27E-06
-9.77E-05,-1.661257982,0.239999995,-4.94E-06
-9.77E-05,-1.640481472,0.25999999,-4.32E-06
-9.77E-05,-1.59401381,0.280000001,-3.24E-06
-0.000146484,-1.540391445,0.300000012,-4.80E-06
-0.000146484,-1.622284532,0.319999993,-2.59E-06
-0.000195312,-1.741601586,0.340000004,-2.56E-06
-0.000195312,-1.678581238,0.360000014,-9.94E-06
-0.000195312,-1.718283415,0.379999995,-4.47E-06
-0.000244141,-1.670282483,0.400000006,-8.55E-06
-0.000244141,-1.721136093,0.419999987,-7.73E-06
-0.000292969,-1.838885069,0.439999998,-9.68E-06
-0.000341797,-1.941524863,0.460000008,7.65E-07
-0.000341797,-1.894701242,0.479999989,-9.42E-06
-0.000390625,-1.826813936,0.5,-1.23E-05
-0.000439453,-1.901659608,0.519999981,-8.07E-06
-0.000488281,-2.064312696,0.540000021,-4.49E-06
-0.000488281,-2.164431095,0.560000002,-1.30E-06
-0.000537109,-2.121628284,0.579999983,-5.57E-06
-0.000585938,-2.144910812,0.600000024,-1.24E-05
-0.000585938,-2.142677546,0.620000005,-1.23E-05
-0.000634766,-2.393193245,0.639999986,-2.70E-06
-0.000683594,-2.469558716,0.660000026,-1.19E-05
-0.000732422,-2.264270782,0.680000007,-1.53E-05
-0.000732422,-2.498128176,0.699999988,-1.10E-05
-0.00078125,-2.473133802,0.720000029,-5.87E-06
-0.000830078,-2.65979743,0.74000001,-3.33E-06
-0.000878906,-2.69147706,0.75999999,-1.31E-05
-0.000927734,-2.615110159,0.779999971,-1.88E-05
-0.000927734,-2.709839344,0.800000012,-1.27E-05
-0.000976563,-2.840589285,0.819999993,-2.07E-05
-0.001025391,-2.918129206,0.839999974,-7.21E-06
-0.001074219,-3.118714094,0.860000014,-8.23E-06
-0.001123047,-3.058335066,0.879999995,-1.14E-05
-0.001171875,-3.087749481,0.899999976,-1.01E-05
-0.001171875,-3.202187777,0.920000017,-1.06E-05
-0.001220703,-3.29234004,0.939999998,-5.45E-06
-0.001269531,-3.549787283,0.959999979,-9.44E-06
-0.001318359,-3.398643732,0.980000019,-1.63E-05
-0.001367187,-3.394253492,1,-1.87E-05
-0.001416016,-3.484866381,1.019999981,-2.13E-05
-0.001464844,-3.663058281,1.039999962,-3.77E-06
-0.001513672,-3.828264236,1.059999943,-2.31E-06
-0.0015625,-3.801268101,1.080000043,-1.06E-05
-0.0015625,-3.758492947,1.100000024,-1.26E-05
-0.001611328,-3.953159332,1.120000005,-1.17E-05
-0.001660156,-4.016044617,1.139999986,-8.50E-06
-0.001708984,-4.138847351,1.159999967,-5.39E-06
-0.001757812,-4.173949242,1.179999948,-1.09E-05
-0.001806641,-4.045453072,1.200000048,-1.20E-05
-0.001855469,-4.243388653,1.220000029,-9.19E-06
-0.001904297,-4.320510387,1.24000001,-6.31E-06
-0.001953125,-4.471584797,1.25999999,-8.18E-06
-0.002001953,-4.481055737,1.279999971,-1.50E-05
-0.002050781,-4.485605717,1.299999952,-1.17E-05
-0.002050781,-4.581762791,1.320000052,-9.55E-06
-0.002099609,-4.73235178,1.340000033,-1.33E-05
-0.002148437,-4.926633835,1.360000014,-8.42E-06
-0.002197266,-4.828725815,1.379999995,-1.53E-05
-0.002246094,-4.819718361,1.399999976,-1.36E-05
-0.002246094,-4.765512943,1.419999957,-2.09E-05
-0.002294922,-5.00677681,1.440000057,-1.20E-05
-0.00234375,-5.085068226,1.460000038,-3.61E-06
-0.002392578,-5.06555891,1.480000019,-7.07E-06
-0.002392578,-5.137684822,1.5,-8.41E-06
-0.002441406,-5.090344429,1.519999981,-1.77E-05
-0.002490234,-5.331557751,1.539999962,-4.48E-06
-0.002490234,-5.353415489,1.559999943,-1.68E-06
-0.002539063,-5.300274849,1.580000043,-1.22E-05
-0.002587891,-5.474464893,1.600000024,-1.62E-05
