"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 1 04-8-22 13 59 50 PM\DAQ- Crosshead, … - (Timed).txt   ",,
Test: MTS EM Flexure (3-Point Bend) - Will 1,,
Test Run: Test Run 1,,
Date: 4/8/2022 1:34:20 PM,,
,,
,,
Crosshead ,Load ,Time 
mm,N,sec
4.88E-05,1.143647075,0.145999998
4.88E-05,1.136689305,0.165999994
9.77E-05,1.232741237,0.186000004
9.77E-05,1.333622694,0.206
9.77E-05,1.205842495,0.225999996
0.000146484,1.124084592,0.246000007
0.000146484,1.067406893,0.266000003
0.000195312,1.189663291,0.286000013
0.000195312,1.236172557,0.305999994
0.000195312,1.223044395,0.326000005
0.000244141,1.10092175,0.345999986
0.000244141,1.126512051,0.365999997
0.000292969,1.204262614,0.386000007
0.000292969,1.307457566,0.405999988
0.000341797,1.242630243,0.425999999
0.000390625,1.177815557,0.44600001
0.000390625,1.230103493,0.465999991
0.000439453,1.245430231,0.486000001
0.000488281,1.262443423,0.505999982
0.000537109,1.364014626,0.526000023
0.000537109,1.203500152,0.546000004
0.000585938,1.204709291,0.565999985
0.000634766,1.287141085,0.586000025
0.000683594,1.367055058,0.606000006
0.000732422,1.349034667,0.625999987
0.000732422,1.166013718,0.646000028
0.00078125,1.164893746,0.666000009
0.000830078,1.348175764,0.68599999
0.000878906,1.404450893,0.70599997
0.000927734,1.364485741,0.726000011
0.000976563,1.283856511,0.745999992
0.000976563,1.236673474,0.765999973
0.001025391,1.364660144,0.786000013
0.001074219,1.412175417,0.805999994
0.001123047,1.450670242,0.825999975
0.001171875,1.375809789,0.846000016
0.001220703,1.283715844,0.865999997
0.001269531,1.369636774,0.885999978
0.001318359,1.43523407,0.906000018
0.001367187,1.453535914,0.925999999
0.001416016,1.374493599,0.94599998
0.001464844,1.355249524,0.966000021
0.001513672,1.394589782,0.986000001
0.001611328,1.564149261,1.006000042
0.001660156,1.492756248,1.026000023
0.001708984,1.44943893,1.046000004
0.001757812,1.261376381,1.065999985
0.001806641,1.484533906,1.085999966
0.001855469,1.552197695,1.105999947
0.001904297,1.56978035,1.126000047
0.001953125,1.536663413,1.146000028
0.002001953,1.449372292,1.166000009
0.002050781,1.501862407,1.18599999
0.002099609,1.655115724,1.20599997
0.002148437,1.628407478,1.225999951
0.002197266,1.591200471,1.246000051
0.002246094,1.52744782,1.266000032
0.002294922,1.606620312,1.286000013
0.00234375,1.667403579,1.305999994
0.002392578,1.671720982,1.325999975
0.002441406,1.563504934,1.345999956
0.002490234,1.603340983,1.366000056
0.002539063,1.589187264,1.386000037
0.002587891,1.76942718,1.406000018
0.002636719,1.639272451,1.425999999
0.002685547,1.620133281,1.44599998
0.002734375,1.562438846,1.465999961
0.002783203,1.634344459,1.485999942
0.002832031,1.736750364,1.506000042
0.002880859,1.800329208,1.526000023
0.002880859,1.686938286,1.546000004
0.002929688,1.67579186,1.565999985
0.002978516,1.720961332,1.585999966
0.003027344,1.798057556,1.605999947
0.003076172,1.871681571,1.626000047
0.003125,1.753935337,1.646000028
0.003173828,1.756792545,1.666000009
